X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
243.2,-0.006685467,243.2,-0.004348374,243.2,-0.003424152,243.2,0
243,-0.006903432,243,-0.004522746,243,-0.003472322,243,0
242.8,-0.006838268,242.8,-0.004470614,242.8,-0.003528165,242.8,0
242.6,-0.006893426,242.6,-0.004514741,242.6,-0.003699036,242.6,0
242.4,-0.007185145,242.4,-0.004748116,242.4,-0.003929954,242.4,0
242.2,-0.007428959,242.2,-0.004943167,242.2,-0.00416345,242.2,0
242,-0.007893324,242,-0.005314659,242,-0.004424963,242,0
241.8,-0.008150771,241.8,-0.005520617,241.8,-0.004559985,241.8,0
241.6,-0.008607006,241.6,-0.005885605,241.6,-0.004782434,241.6,0
241.4,-0.008839522,241.4,-0.006071618,241.4,-0.005039617,241.4,0
241.2,-0.008934913,241.2,-0.00614793,241.2,-0.00516824,241.2,0
241,-0.009376347,241,-0.006501078,241,-0.005476268,241,0
240.8,-0.009288711,240.8,-0.006430969,240.8,-0.00563641,240.8,0
240.6,-0.009608905,240.6,-0.006687124,240.6,-0.005739245,240.6,0
240.4,-0.010092489,240.4,-0.007073991,240.4,-0.005991016,240.4,0
240.2,-0.010151775,240.2,-0.00712142,240.2,-0.006268575,240.2,0
240,-0.010644741,240,-0.007515792,240,-0.006591471,240,0
239.8,-0.010694688,239.8,-0.00755575,239.8,-0.006926369,239.8,0
239.6,-0.010768732,239.6,-0.007614986,239.6,-0.00727553,239.6,0
239.4,-0.011066579,239.4,-0.007853264,239.4,-0.00743475,239.4,0
239.2,-0.010951843,239.2,-0.007761475,239.2,-0.007749145,239.2,0
239,-0.01126595,239,-0.00801276,239,-0.008135938,239,0
238.8,-0.011564006,238.8,-0.008251205,238.8,-0.008479178,238.8,0
238.6,-0.011705341,238.6,-0.008364273,238.6,-0.008857248,238.6,0
238.4,-0.011944403,238.4,-0.008555522,238.4,-0.009125033,238.4,0
238.2,-0.012169373,238.2,-0.008735498,238.2,-0.009307525,238.2,0
238,-0.012376415,238,-0.008901132,238,-0.009588172,238,0
237.8,-0.012701987,237.8,-0.00916159,237.8,-0.010043735,237.8,0
237.6,-0.012882638,237.6,-0.00930611,237.6,-0.010450809,237.6,0
237.4,-0.013133957,237.4,-0.009507166,237.4,-0.011016115,237.4,0
237.2,-0.013453526,237.2,-0.00976282,237.2,-0.011441432,237.2,0
237,-0.013578685,237,-0.009862948,237,-0.011779546,237,0
236.8,-0.014042507,236.8,-0.010234006,236.8,-0.012040613,236.8,0
236.6,-0.014178757,236.6,-0.010343005,236.6,-0.012205531,236.6,0
236.4,-0.014290741,236.4,-0.010432593,236.4,-0.012506777,236.4,0
236.2,-0.014534972,236.2,-0.010627978,236.2,-0.012824324,236.2,0
236,-0.014565658,236,-0.010652526,236,-0.013278231,236,0
235.8,-0.014915119,235.8,-0.010932096,235.8,-0.013646272,235.8,0
235.6,-0.015477919,235.6,-0.011382335,235.6,-0.014029659,235.6,0
235.4,-0.015716647,235.4,-0.011573317,235.4,-0.014379075,235.4,0
235.2,-0.016213114,235.2,-0.011970491,235.2,-0.014694839,235.2,0
235,-0.016372836,235,-0.012098269,235,-0.015107548,235,0
234.8,-0.016216158,234.8,-0.011972926,234.8,-0.015620673,234.8,0
234.6,-0.016187974,234.6,-0.011950379,234.6,-0.015953024,234.6,0
234.4,-0.016260518,234.4,-0.012008414,234.4,-0.016327433,234.4,0
234.2,-0.016489823,234.2,-0.012191859,234.2,-0.016804867,234.2,0
234,-0.016752399,234,-0.012401919,234,-0.017133748,234,0
233.8,-0.017186204,233.8,-0.012748963,233.8,-0.017572373,233.8,0
