X,cdtest.txt,X,cdtestBL.txt,X,combination
206.6,-0.0004650121285627653,206.6,-2.113691494845361e-05,206.6,-0.00024692478911461494
206.8,-0.00046341419041843546,206.8,-2.1064281382656155e-05,206.8,-0.00024406534263189813
207.0,-0.00046205882352941176,207.0,-2.1002673802304428e-05,207.0,-0.00023881206240145545
207.2,-0.0004787689508793208,207.2,-2.1762225045482113e-05,207.2,-0.00024031524614918134
207.4,-0.0004913189812007278,207.4,-2.233268095815646e-05,207.4,-0.00023793899884778658
207.6,-0.0005024620982413585,207.6,-2.283918629472408e-05,207.6,-0.00023684774517889634
207.8,-0.0005097513644633111,207.8,-2.3170516555488176e-05,207.8,-0.00023494030818677989
208.0,-0.0005082383262583384,208.0,-2.3101742116434204e-05,208.0,-0.0002323085065191025
208.2,-0.0005082929047907824,208.2,-2.3104222953305033e-05,208.2,-0.0002292535696482717
208.4,-0.0005120952092177077,208.4,-2.3277054972710734e-05,208.4,-0.00022620232647058825
208.6,-0.0005160187992722862,208.6,-2.345539996967859e-05,208.6,-0.0002256586085203153
208.8,-0.0005173802304426925,208.8,-2.351728320194057e-05,208.8,-0.0002222724378411158
209.0,-0.0005084020618556701,209.0,-2.3109184627046695e-05,209.0,-0.00021905076079442086
209.2,-0.0005013523347483324,209.2,-2.2788742480291085e-05,209.2,-0.00021602220354760465
209.4,-0.0004888477865372953,209.4,-2.2220353941782896e-05,209.4,-0.00021081906388720437
209.6,-0.00048500606428138264,209.6,-2.2045730200121285e-05,209.6,-0.00020863028556701032
209.8,-0.00047732565191024867,209.8,-2.1696620527592482e-05,209.8,-0.00020368012295330504
210.0,-0.000473077622801698,210.0,-2.1503528320194058e-05,210.0,-0.0001998776117647059
210.2,-0.00047050030321406914,210.2,-2.138637741055185e-05,210.2,-0.0001987949446027896
210.4,-0.0004613826561552456,210.4,-2.0971938902365072e-05,210.4,-0.00019698485309278352
210.6,-0.00046138568829593693,210.6,-2.09720767434809e-05,210.6,-0.0001960235266525167
210.8,-0.00045811400848999394,210.8,-2.0823364008489994e-05,210.8,-0.0001948391587325652
211.0,-0.00045517586416009704,211.0,-2.0689812007277137e-05,211.0,-0.0001912113402061856
211.2,-0.0004500151607034566,211.2,-2.045523456640388e-05,211.2,-0.0001876599867798666
211.4,-0.0004472346876895088,211.4,-2.0328849454214674e-05,211.4,-0.00018646920997574288
211.6,-0.00043991813220133416,211.6,-1.9996278744693756e-05,211.6,-0.00018287333920557913
211.8,-0.0004329169193450576,211.8,-1.9678041782898725e-05,211.8,-0.00017937790121285628
212.0,-0.00042816858702243786,212.0,-1.9462208489993933e-05,212.0,-0.0001759145349909036
212.2,-0.00042046694966646454,212.2,-1.9112134081261372e-05,212.2,-0.00017229614366282597
212.4,-0.0004185021224984839,212.4,-1.9022823741661615e-05,212.4,-0.00017099324660400244
212.6,-0.00041867192237719835,212.6,-1.903054193450576e-05,212.6,-0.00017160666243177684
212.8,-0.00041601879927228626,212.8,-1.8909945421467558e-05,212.8,-0.000172095815645846
213.0,-0.00041447543966040024,213.0,-1.8839792722862342e-05,213.0,-0.00017027982522741056
213.2,-0.0004082140691328078,213.2,-1.855518496058217e-05,213.2,-0.0001676497877501516
213.4,-0.0004029138872043663,213.4,-1.8314267586416012e-05,213.4,-0.00016602881913280776
213.6,-0.00039997271073377805,213.6,-1.8180577774408732e-05,213.6,-0.00016369662052759248
213.8,-0.00040190721649484534,213.8,-1.8268509854457246e-05,213.8,-0.0001632199680109157
214.0,-0.00040191631291691936,214.0,-1.826892331716192e-05,214.0,-0.00016315299906003637
214.2,-0.00040292904790782295,214.2,-1.8314956731352336e-05,214.2,-0.0001629935635839903
214.4,-0.0004014978775015161,214.4,-1.82499035172832e-05,214.4,-0.00016284515409338996
214.6,-0.00039846270466949667,214.6,-1.8111941115827775e-05,214.6,-0.00016151070897513646
214.8,-0.0003982747119466343,214.8,-1.8103395997574287e-05,214.8,-0.00016159824135839905
215.0,-0.0003935657974530018,215.0,-1.7889354426925408e-05,215.0,-0.0001590474254396604
